model,iterations,mutation_models,Output_difference_PyTorch_TensorFlow
densenet,35,densenet121-imagenet_origin-Edge5-MShape10-MDims13-NLAll21-MDims48_35,0.3780931532382965
densenet,36,densenet121-imagenet_origin-Edge0-SpecialI2-LMerg6_36,5.67555433511734
densenet,37,densenet121-imagenet_origin-Edge5-LMerg11-NLAll63-NLAll64-NLAll70_37,5.67555433511734
densenet,38,densenet121-imagenet_origin-MDims4-MDtype7-LMerg30-MDtype33-MParam58_38,5.67555433511734
densenet,39,densenet121-imagenet_origin-Edge5-LMerg11-NLAll63-NLAll64-NLAll73_39,5.67555433511734
densenet,40,densenet121-imagenet_origin-Edge0-SpecialI2-LMerg6-SpecialI16_40,5.820082068443298
densenet,41,densenet121-imagenet_origin-MDtype1-MDtype8-MDtype25-NLAll27-LMerg96_41,5.820082068443298
densenet,42,densenet121-imagenet_origin-Edge5-NLAll20-MDtype22-MShape76_42,5.820082068443298
densenet,43,densenet121-imagenet_origin-Edge5-MShape10-MDims13_43,1.323436789214611
densenet,44,densenet121-imagenet_origin-MShape98_44,0.0927175423130393
densenet,45,densenet121-imagenet_origin-Edge5-LMerg11-NLAll44-NLAll51-SpecialI72_45,0.0927175423130393
densenet,46,densenet121-imagenet_origin-Edge5-MShape10-MDims13-NLAll21-MDims48-MParam49_46,0.0927175423130393
densenet,47,densenet121-imagenet_origin-Edge5-LMerg11-NLAll40-NLAll46-MDtype54_47,5.23497000336647
densenet,48,densenet121-imagenet_origin-Edge5-LMerg11-NLAll44_48,5.23497000336647
densenet,49,densenet121-imagenet_origin-Edge5-MShape10-MDims13-NLAll21-MDims48-MDtype69_49,5.23497000336647
densenet,50,densenet121-imagenet_origin-MDtype1-MDtype8-MDtype25-NLAll27_50,5.23497000336647
densenet,51,densenet121-imagenet_origin-MDims4-MDtype7_51,0.3692678473889828
densenet,52,densenet121-imagenet_origin-Edge5-LMerg11-NLAll63_52,0.8791872262954712
densenet,53,densenet121-imagenet_origin-MDtype1-MDtype12_53,0.8791872262954712
densenet,54,densenet121-imagenet_origin-MDims4-MDtype7-LMerg30-MDtype33-MParam58-MDtype84_54,0.8791872262954712
densenet,55,densenet121-imagenet_origin-Edge5-NLAll20_55,0.8791872262954712
densenet,56,densenet121-imagenet_origin-MDtype1-MDtype8-LMerg36-NLAll67_56,0.1282389955595136
densenet,57,densenet121-imagenet_origin-Edge0-SpecialI2-NLAll19_57,0.1282389955595136
densenet,58,densenet121-imagenet_origin-Edge5-LMerg11-NLAll44-NLAll51_58,0.1282389955595136
densenet,59,densenet121-imagenet_origin-MDtype1-MDtype8-MDtype25_59,0.1690391465090215
densenet,60,densenet121-imagenet_origin-Edge5-MShape10-MDims13-NLAll21_60,0.1690391465090215
densenet,61,densenet121-imagenet_origin-MDtype1-MDtype8_61,0.1156839337199926
densenet,62,densenet121-imagenet_origin-MDtype1-MDtype8-MDtype25-NLAll27-NLAll45_62,0.1156839337199926
densenet,63,densenet121-imagenet_origin-MDtype1-MShape97_63,0.2732498236000538
densenet,64,densenet121-imagenet_origin_64,0.3976330701261759
densenet,65,densenet121-imagenet_origin-Edge5-MShape10_65,1.176406983286142
densenet,66,densenet121-imagenet_origin-MParam14-Edge35_66,5.484025418758392
densenet,67,densenet121-imagenet_origin-NLAll95_67,0.5155566744506359
