mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
LA,18,"(0.76051116, 0.5936206)","(0.23623347, 0.011138409)","(0.9967141, 0.59167874)"
LA,20,"(0.21101081, 0.47981882)","(0.4824252, 0.021011418)","(0.57312053, 0.4890766)"
LA,22,"(0.0025188855, 0.26521716)","(0.014370334, 0.086801045)","(0.016879044, 0.29327044)"
LA,24,"(0.0025188855, 0.35648677)","(0.014370334, 0.07950269)","(0.016879044, 0.3291229)"
LA,26,"(0.0025188855, 0.47829017)","(0.014370334, 0.0015301104)","(0.016879044, 0.47824538)"
LA,28,"(0.76206464, 0.47796062)","(4.536746, 4.0799456e-05)","(5.2962055, 0.47795054)"
LA,30,"(0.54296875, 0.25857535)","(0.0013020834, 0.00017337402)","(0.5442708, 0.25866076)"
LA,32,"(0.54296875, 0.2537166)","(0.0013020834, 0.009497269)","(0.5442708, 0.2590734)"
LA,34,"(309.63892, 0.15413381)","(1.7990978e-05, 2.6066931e-05)","(309.63892, 0.15412788)"
LA,36,"(309.64023, 0.15386511)","(1.7990978e-05, 0.00010888177)","(309.64023, 0.15388466)"
LA,38,"(309.64023, 0.086785026)","(1.7990978e-05, 3.486501e-05)","(309.64023, 0.08680228)"
LA,40,"(309.64023, 0.08686528)","(1.7990978e-05, 4.2930344e-05)","(309.64023, 0.08686689)"
LC,2,"(6.187423e-05, 9.777277e-05)","(0.19956686, 0.11571004)","(0.19956934, 0.115672864)"
LC,4,"(5.701673e-05, 0.00011010901)","(0.1961801, 0.11640043)","(0.1961779, 0.116352536)"
LC,6,"(5.874633e-05, 6.864835e-05)","(0.16844796, 0.10514146)","(0.16844995, 0.10511643)"
LC,8,"(5.10313e-05, 6.771875e-05)","(0.15585802, 0.10922817)","(0.15585662, 0.1092177)"
LC,10,"(0.00011077566, 8.925396e-05)","(0.13388714, 0.11653877)","(0.13388091, 0.11650016)"
LC,12,"(3.0361478e-05, 0.00011739639)","(0.025914386, 0.18389358)","(0.025916165, 0.18386394)"
LC,14,"(3.0304336e-05, 0.00011740144)","(0.025655389, 0.18389358)","(0.025657153, 0.18386394)"
LC,16,"(3.0299589e-05, 0.00011738556)","(0.02565539, 0.18389358)","(0.025657153, 0.18386392)"
LC,18,"(3.0306677e-05, 0.00011739646)","(0.025655394, 0.18389358)","(0.025657153, 0.18386392)"
LC,20,"(3.0299625e-05, 0.00011739103)","(0.025655396, 0.18389358)","(0.025657153, 0.18386394)"
LC,22,"(3.0311101e-05, 0.00011739607)","(0.025655394, 0.18389358)","(0.025657153, 0.18386392)"
LC,24,"(3.0301138e-05, 0.00011738565)","(0.025655396, 0.18389358)","(0.025657153, 0.18386394)"
LC,26,"(3.0314159e-05, 0.00011739598)","(0.025655389, 0.18389358)","(0.025657153, 0.18386392)"
LC,28,"(3.0313153e-05, 0.000117386306)","(0.025655396, 0.18389358)","(0.025657153, 0.18386394)"
LC,30,"(3.0298952e-05, 0.00011740075)","(0.025655396, 0.18389358)","(0.025657153, 0.18386394)"
LC,32,"(3.0298936e-05, 0.0001173857)","(0.025655394, 0.18389358)","(0.025657153, 0.18386394)"
LC,34,"(3.0302223e-05, 0.000117387885)","(0.025655394, 0.18389358)","(0.025657153, 0.18386394)"
LC,36,"(3.0306815e-05, 0.00011739786)","(0.025655394, 0.18389358)","(0.025657153, 0.18386392)"
LC,38,"(3.0304143e-05, 0.00011739566)","(0.025655394, 0.18389358)","(0.025657153, 0.18386394)"
LC,40,"(3.0305135e-05, 0.00011739872)","(0.02565539, 0.18389358)","(0.025657153, 0.18386392)"
GF,5,"(5.680203e-05, 5.7569505e-05)","(0.22370744, 0.20894857)","(0.22371452, 0.20894186)"
GF,10,"(5.6920257e-05, 6.8485075e-05)","(0.2233197, 0.20686567)","(0.22332758, 0.20689024)"
GF,15,"(5.9314956e-05, 6.848995e-05)","(0.22175317, 0.20686567)","(0.2217629, 0.20689024)"
GF,20,"(5.889755e-05, 5.6158515e-05)","(0.22225757, 0.2055146)","(0.22226162, 0.20552196)"
GF,25,"(6.1034876e-05, 6.51302e-05)","(0.22326893, 0.2020753)","(0.22326963, 0.2020614)"
GF,30,"(5.7726105e-05, 5.6928704e-05)","(0.22358574, 0.2001242)","(0.22359137, 0.2001307)"
GF,35,"(5.7941244e-05, 5.6929206e-05)","(0.22303997, 0.2001242)","(0.22303887, 0.2001307)"
GF,40,"(6.411153e-05, 6.348757e-05)","(0.22425763, 0.1987098)","(0.2242707, 0.19872214)"
GF,45,"(5.9348527e-05, 6.058264e-05)","(0.22455543, 0.19795479)","(0.224567, 0.19795734)"
GF,50,"(6.381841e-05, 6.232481e-05)","(0.2249059, 0.19641167)","(0.22491618, 0.19641908)"
GF,55,"(6.0057555e-05, 6.0254202e-05)","(0.2252776, 0.19629943)","(0.22528434, 0.19630338)"
GF,60,"(6.349144e-05, 5.9121987e-05)","(0.22505121, 0.19261824)","(0.22506034, 0.19262217)"
GF,65,"(6.197353e-05, 6.015308e-05)","(0.22414963, 0.18531382)","(0.22415638, 0.18532576)"
GF,70,"(6.360816e-05, 5.3196458e-05)","(0.22446603, 0.18732941)","(0.22447519, 0.18734032)"
