mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
NS,65,"(3.0559242, 3.0233662)","(10.531104, 10.807252)","(8.581026, 9.01064)"
NS,70,"(3.0528758, 2.9406238)","(10.524232, 10.812613)","(8.580069, 9.029661)"
NS,75,"(3.040183, 2.9488628)","(10.5026455, 11.052569)","(8.544882, 9.209387)"
NS,80,"(3.040183, 3.0315273)","(10.5026455, 11.044416)","(8.544882, 9.220266)"
NS,85,"(3.0401828, 2.935456)","(10.5026455, 10.73115)","(8.544882, 9.011763)"
NS,90,"(3.0401828, 2.9511857)","(10.5026455, 10.940674)","(8.544882, 9.244257)"
NS,95,"(3.026923, 2.9469242)","(10.477489, 10.968007)","(8.537914, 9.24784)"
NS,100,"(3.026923, 2.9474907)","(10.477489, 10.970994)","(8.537914, 9.248964)"
NAI,5,"(0.6444622, 1.3148993)","(1.5188888, 1.9254268)","(0.93752366, 0.76001763)"
NAI,10,"(0.9102682, 2.4542098)","(3.4733062, 6.559184)","(2.886301, 4.320198)"
NAI,15,"(0.61361766, 2.422622)","(3.9740243, 6.2161565)","(3.4616897, 4.1209345)"
NAI,20,"(1.1655532, 12.551423)","(10.643241, 17260.676)","(9.595152, 17250.77)"
NAI,25,"(1.0684105, 14.060672)","(8.036818, 129566.234)","(7.1407423, 129554.67)"
NAI,30,"(0.9246025, 1.4298418)","(8.315644, 5.5704117)","(7.7040534, 4.5016603)"
NAI,35,"(0.9493678, 1.3647374)","(6.642774, 4.995198)","(6.155959, 3.9711804)"
NAI,40,"(0.48774323, 2.3682437)","(5.372053, 9.09608)","(5.033672, 7.014047)"
NAI,45,"(0.8039731, 19.070637)","(6.2578015, 309675.78)","(5.6722174, 309656.75)"
NAI,50,"(0.6622121, 2.422622)","(4.709405, 8.161387)","(4.2704916, 6.0673857)"
NAI,55,"(0.8392313, 2.3752985)","(4.625991, 4.9593477)","(3.8766377, 2.9708762)"
NAI,60,"(0.99132556, 26.515808)","(5.954217, 59868.914)","(5.143552, 59847.375)"
NAI,65,"(0.99789155, 28.350025)","(6.1091356, 34767.414)","(5.2841454, 34744.35)"
NAI,70,"(0.85854995, 78.80661)","(5.168048, 102429.66)","(4.4451337, 102350.84)"
NAI,75,"(1.1131022, 65.58444)","(8.387877, 128859.836)","(7.4380302, 128794.266)"
NAI,80,"(0.6088828, 25.873852)","(5.195525, 119095.375)","(4.5866423, 119075.44)"
NAI,85,"(0.9689096, 55.211834)","(5.880997, 162515.33)","(5.352113, 162460.1)"
NAI,90,"(0.8560071, 37.79973)","(6.728877, 75205.96)","(5.9747047, 75178.125)"
NAI,95,"(0.8560071, 20.686977)","(6.728877, 41439.094)","(5.9747047, 41433.11)"
NAI,100,"(0.6719991, 16.667671)","(6.243218, 34290.887)","(5.7183433, 34277.027)"
SM,2,"(0.84402496, 0.40758738)","(0.8949188, 0.63246953)","(0.66099805, 0.44571453)"
SM,4,"(0.13450511, 0.40758738)","(0.25391915, 0.9960631)","(0.119780496, 0.5979468)"
SM,6,"(0.07387283, 0.048480064)","(0.098870166, 0.1509837)","(0.026472777, 0.10683825)"
SM,8,"(0.07387283, 0.04608484)","(0.10457541, 0.138392)","(0.032060523, 0.12417402)"
SM,10,"(0.07387283, 0.022207193)","(0.108172156, 0.026808565)","(0.03553363, 0.014403326)"
SM,12,"(0.07387283, 0.022207193)","(0.11016984, 0.027285773)","(0.037457503, 0.0148357395)"
SM,14,"(0.07387283, 0.022207193)","(0.1111691, 0.027572673)","(0.038425304, 0.015192628)"
SM,16,"(0.06656157, 0.02019968)","(0.06764225, 0.020312596)","(0.0047423234, 0.004196667)"
SM,18,"(0.06656157, 0.02019968)","(0.068037614, 0.020306578)","(0.0048240563, 0.004217463)"
SM,20,"(0.06656157, 0.02019968)","(0.068229154, 0.02030357)","(0.0051429914, 0.004227853)"
SM,22,"(0.019172207, 0.020085081)","(0.01960507, 0.021410603)","(0.0018282682, 0.002968995)"
SM,24,"(0.019172207, 0.020085081)","(0.019622302, 0.021411365)","(0.0018524388, 0.0029706564)"
SM,26,"(0.019172207, 0.020085081)","(0.01963051, 0.021411728)","(0.0018639896, 0.002971455)"
SM,28,"(0.019186977, 0.020085081)","(0.019620057, 0.021411905)","(0.0018389609, 0.0029718378)"
SM,30,"(0.019186977, 0.020085081)","(0.01962192, 0.02141199)","(0.0018415593, 0.0029720245)"
SM,32,"(0.019186977, 0.018786713)","(0.019622818, 0.019437712)","(0.0018428087, 0.0024355587)"
SM,34,"(0.019186977, 0.018786713)","(0.019623242, 0.019437721)","(0.0018434019, 0.00243559)"
SM,36,"(0.019186977, 0.018786713)","(0.019623443, 0.019437725)","(0.0018436828, 0.0024356046)"
SM,38,"(0.019186977, 0.018786713)","(0.019623542, 0.019437728)","(0.001843821, 0.0024356125)"
SM,40,"(0.019186977, 0.018786713)","(0.019623589, 0.019437727)","(0.0018438862, 0.0024356092)"
WS,5,"(0.7439939, 2.7404704)","(1.3098005, 6.422084)","(0.9310686, 4.212781)"
WS,10,"(0.16557941, 0.6478921)","(0.6287192, 4.638789)","(0.5602435, 4.4236574)"
WS,15,"(0.11442411, 0.5735673)","(0.44325727, 4.054692)","(0.40687203, 3.941522)"
WS,20,"(0.055563718, 0.5615291)","(0.3397283, 8.661718)","(0.28719437, 8.542339)"
WS,25,"(0.053789776, 0.56110823)","(0.30527768, 11.469863)","(0.25148794, 11.350747)"
WS,30,"(0.057490468, 1.709626)","(0.3068873, 3.403566)","(0.24939683, 3.2824752)"
WS,35,"(0.055932343, 2.0298436)","(0.29125795, 1.5082676)","(0.23604503, 2.7569005)"
WS,40,"(0.05536772, 2.0298436)","(0.327074, 5.09498)","(0.27170622, 5.3627095)"
WS,45,"(0.05341717, 1.9193618)","(0.3156611, 5.0907426)","(0.26318917, 5.3538656)"
WS,50,"(0.053869087, 2.1747398)","(0.27453586, 2.7500353)","(0.22066677, 2.790165)"
WS,55,"(0.03949312, 2.1747398)","(0.21930012, 1.9853058)","(0.1819726, 2.261997)"
WS,60,"(0.045398824, 1.5733132)","(0.23699793, 0.70214826)","(0.19358538, 1.2701955)"
WS,65,"(0.045657266, 1.5733132)","(0.22379276, 0.6768015)","(0.1792431, 1.3801587)"
WS,70,"(0.043630444, 1.5733132)","(0.23129947, 0.54854035)","(0.18766905, 1.4054997)"
WS,75,"(0.034488834, 1.239027)","(0.18413639, 1.0820105)","(0.15668523, 1.3957007)"
WS,80,"(0.045561615, 1.239027)","(0.2608532, 1.0493267)","(0.21529157, 1.2928236)"
WS,85,"(0.04371908, 1.8749313)","(0.19667177, 0.7073398)","(0.15515761, 1.5144032)"
WS,90,"(0.041761916, 1.8403164)","(0.19419841, 0.5415062)","(0.16246924, 1.4722822)"
WS,95,"(0.052776992, 1.8403164)","(0.2903337, 0.5575775)","(0.24240665, 1.4597462)"
WS,100,"(0.050784342, 1.8795497)","(0.22681788, 0.7308177)","(0.17741245, 1.4404948)"
DM,2,"(3.0570474, 0.31342536)","(2.773521, 0.3879264)","(2.2421281, 0.13420948)"
DM,4,"(0.16964814, 0.31342536)","(0.16964819, 0.639936)","(2.2351742e-08, 0.32651058)"
DM,6,"(0.16964814, 0.31342536)","(0.16964819, 0.80572605)","(2.2351742e-08, 0.4923006)"
DM,8,"(0.16964814, 0.31342536)","(0.16964819, 0.91996735)","(2.2351742e-08, 0.606542)"
DM,10,"(0.16964814, 0.31342536)","(0.16964819, 0.99055433)","(2.2351742e-08, 0.677129)"
DM,12,"(0.16964814, 0.31342536)","(0.16964819, 1.0250709)","(2.2351742e-08, 0.7116457)"
DM,14,"(0.16964814, 0.31342536)","(0.16964819, 1.0408467)","(2.2351742e-08, 0.7274214)"
DM,16,"(0.16964814, 0.31342536)","(0.16964819, 1.0484155)","(2.2351742e-08, 0.7349903)"
DM,18,"(0.16964814, 0.31342536)","(0.16964819, 1.0521187)","(2.2351742e-08, 0.73869336)"
DM,20,"(0.16964814, 0.31342536)","(0.16964816, 1.0538664)","(1.3411045e-08, 0.74044096)"
DM,22,"(0.16964814, 0.31342536)","(0.16964816, 1.0547063)","(1.3411045e-08, 0.7412811)"
DM,24,"(0.16964814, 0.3966558)","(0.16964816, 1.2935534)","(1.3411045e-08, 0.8968976)"
DM,26,"(0.16964814, 0.16964814)","(0.16964816, 0.16964816)","(1.3411045e-08, 1.3411045e-08)"
DM,28,"(0.16964814, 0.16964814)","(0.16964816, 0.16964816)","(1.3411045e-08, 1.3411045e-08)"
DM,30,"(0.16964814, 0.16964814)","(0.16964816, 0.16964816)","(1.3411045e-08, 1.3411045e-08)"
DM,32,"(0.16964814, 0.16964814)","(0.16964816, 0.16964816)","(1.3411045e-08, 1.3411045e-08)"
DM,34,"(0.16964814, 0.16964814)","(0.16964816, 0.16964816)","(1.3411045e-08, 1.3411045e-08)"
DM,36,"(0.16964814, 0.16964814)","(0.16964816, 0.16964816)","(1.3411045e-08, 1.3411045e-08)"
DM,38,"(0.16964814, 0.16964814)","(0.16964816, 0.16964816)","(1.3411045e-08, 1.3411045e-08)"
DM,40,"(0.16964814, 0.16964814)","(0.16964816, 0.16964816)","(1.3411045e-08, 1.3411045e-08)"
AFRM,1,"(7.3837724, 2.9038208)","(-100.0, -100.0)","(-100.0, -100.0)"
AFRM,2,"(10.965815, 4.6610823)","(13.691258430480955, 2.8295960426330566)","(7.537797451019287, 4.701111793518066)"
AFRM,3,"(10.965815, 3.4720936)","(24.90247344970703, 3.9886841773986816)","(14.857481002807615, 1.7541745901107788)"
AFRM,4,"(10.965815, 66.906)","(27.359451293945312, 4.543421268463135)","(17.665983200073242, 64.99088287353516)"
AFRM,5,"(10.965815, 85.10833)","(30.10895156860352, 32646.55078125)","(20.483074188232425, 32572.48828125)"
AFRM,6,"(10.965815, 94.478745)","(32.85353088378906, 21141.353515625)","(23.227659225463867, 21058.873046875)"
AFRM,7,"(10.965815, 157.84666)","(35.53538513183594, 33848.5546875)","(25.90951156616211, 33726.859375)"
AFRM,8,"(10.965815, 124.717384)","(38.14899444580078, 41390.33984375)","(28.523122787475582, 41334.828125)"
AFRM,9,"(10.965815, 350.77814)","(40.62892532348633, 17040.15234375)","(31.003047943115234, 17041.28125)"
AFRM,10,"(10.965815, 1057.0358)","(42.96255111694336, 59791.0546875)","(33.33667755126953, 59049.07421875)"
RA,2,"(3.394574, 0.9144046)","(4.3193464, 1.1901377)","(2.713678, 0.9383852)"
RA,4,"(3.0570474, 0.9144046)","(4.106389, 2.2942233)","(2.457831, 1.8069496)"
RA,6,"(3.394574, 1.5655758)","(4.605565, 8.113806)","(2.9898143, 6.5482306)"
RA,8,"(3.0570474, 2.9461458)","(7.226223, 19.232508)","(5.304949, 16.286362)"
RA,10,"(3.394574, 2.968039)","(4.620699, 25.467573)","(3.2594795, 22.499537)"
RA,12,"(1.5673927, 4.4968305)","(1.7111582, 33.528603)","(0.47368422, 29.031773)"
RA,14,"(1.5673927, 5.341848)","(1.7169298, 17.554417)","(0.4685637, 19.36355)"
RA,16,"(2.0416548, 4.4252906)","(2.9815698, 2.4039214)","(1.7843163, 5.1140375)"
RA,18,"(4.0348825, 3.2301178)","(7.94591, 2.6151469)","(5.298097, 3.9552655)"
RA,20,"(1.1304692, 3.2301178)","(2.158955, 2.9387324)","(1.3646085, 4.258312)"
RA,22,"(4.025588, 3.2301178)","(4.63453, 4.4318423)","(3.2195644, 5.4056177)"
RA,24,"(4.0348825, 3.3436298)","(8.0039, 5.1464)","(5.3216395, 5.6889067)"
RA,26,"(1.1304692, 1.4636323)","(2.1609347, 3.0886135)","(1.3651211, 2.1127877)"
RA,28,"(1.912509, 1.1924407)","(2.2748933, 5.4962735)","(0.90515727, 4.873297)"
RA,30,"(1.7147968, 1.2911329)","(3.239408, 8.931007)","(2.023068, 9.187971)"
