mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
PM,90,"(1.17485685e+21, 7.4674225e+21)","(1.262748e+21, 3.1445891e+22)","(2.2506286e+21, 2.79566e+22)"
PM,95,"(1.17485685e+21, 5.000089e+21)","(1.262748e+21, 2.106817e+22)","(2.2506286e+21, 1.8816308e+22)"
PM,100,"(1.0947133e+25, 1.0351333e+22)","(2.1271492e+25, 4.312038e+22)","(3.141623e+25, 4.036818e+22)"
SM,5,"(1.1788246e-06, 1.2563534e-05)","(0.0002137848, 0.0019801906)","(0.00021380615, 0.0019798907)"
SM,10,"(1.1626292e-06, 8.147326e-06)","(0.00018865467, 1.188863e-05)","(0.00018863135, 1.4120497e-05)"
SM,15,"(1.1553107e-06, 1.7432411e-06)","(0.00012548485, 9.3842647e-07)","(0.0001254902, 1.8200016e-06)"
SM,20,"(1.2806889e-07, 1.6267765e-06)","(1.5665615e-05, 8.328134e-07)","(1.5661331e-05, 1.7838063e-06)"
SM,25,"(1.3005626e-07, 1.6715351e-06)","(1.2873228e-05, 9.878436e-07)","(1.2891054e-05, 1.6443936e-06)"
SM,30,"(1.268972e-07, 2.3639402e-06)","(2.559091e-06, 1.3315395e-06)","(2.5496074e-06, 2.2726392e-06)"
SM,35,"(2.0258597e-08, 1.9746458e-06)","(5.1303414e-07, 1.2504003e-06)","(5.1497227e-07, 2.0475093e-06)"
SM,40,"(2.0864714e-08, 2.2574661e-06)","(3.6965628e-07, 1.3778995e-06)","(3.7165236e-07, 2.140549e-06)"
SM,45,"(2.0755694e-08, 1.0455971e-06)","(3.6968467e-07, 7.226419e-07)","(3.7151293e-07, 1.3664643e-06)"
SM,50,"(2.0709155e-08, 1.0324432e-06)","(3.6951195e-07, 6.993949e-07)","(3.7107588e-07, 1.372264e-06)"
SM,55,"(2.0642128e-08, 1.0411e-06)","(3.695515e-07, 7.1367987e-07)","(3.7094435e-07, 1.4105491e-06)"
SM,60,"(2.0589832e-08, 1.1169028e-06)","(3.6948202e-07, 8.5221666e-07)","(3.709108e-07, 1.6179696e-06)"
SM,65,"(2.0818657e-08, 1.1169028e-06)","(3.695561e-07, 8.5221666e-07)","(3.712687e-07, 1.6179696e-06)"
SM,70,"(2.104339e-08, 1.1220231e-06)","(3.694935e-07, 8.66765e-07)","(3.716147e-07, 1.664164e-06)"
