URL,volunteer_1,volunteer_2,volunteer_3,volunteer_4,volunteer_5,volunteer_6,Final_label
https://gitee.com/mindspore/mindspore/issues/I83E65,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6B06L,C2,B1,C1,C2,B1,C1,C2
https://gitee.com/mindspore/mindspore/issues/I8435X,E2,E2,E2,E2,E2,E2,E2
https://gitee.com/mindspore/mindspore/issues/I6AZ8T,D1,D1,D1,E3,D1,E3,D1
https://gitee.com/mindspore/mindspore/issues/I7IYT5,C2,C2,C1,B1,C1,B1,C2
https://gitee.com/mindspore/mindspore/issues/I84LJ4,E2,E2,E2,E2,E2,E2,E2
https://gitee.com/mindspore/mindspore/issues/I7IW6F,B1,B1,B1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I4TZ27,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I4UE1A,C2,C2,G2,C2,G2,C2,C2
https://gitee.com/mindspore/mindspore/issues/I4VLR4,F1,F1,C1,G5,F1,G5,F1
https://gitee.com/mindspore/mindspore/issues/I6I4T0,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I6IN5Z,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I4WYR2,B1,B1,B1,G5,B1,G5,B1
https://gitee.com/mindspore/mindspore/issues/I64W2D,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7KP7B,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I6IY3D,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I66WWC,C1,C1,C1,C1,C1,C1,C1
https://gitee.com/mindspore/mindspore/issues/I6J5UT,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I66PUZ,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I80KFZ,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I4ZC8M,A3,A3,A3,A3,A3,A3,A3
https://gitee.com/mindspore/mindspore/issues/I80DWX,B1,B1,B1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I65IGU,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I65FDG,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7GQVF,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I65641,G1,G1,G1,G1,G1,G1,G1
https://gitee.com/mindspore/mindspore/issues/I6LH4N,G3,G3,G3,G3,G3,G3,G3
https://gitee.com/mindspore/mindspore/issues/I64ZYV,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7GQOB,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I6U777,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I6Z30D,C2,C2,C1,C2,C1,C2,C2
https://gitee.com/mindspore/mindspore/issues/I7QCFZ,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I5PW7U,G5,G5,G4,G5,G4,G5,G5
https://gitee.com/mindspore/mindspore/issues/I7O7EQ,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I5HL1M,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I79CH8,A3,A3,A3,A3,A3,A3,A3
https://gitee.com/mindspore/mindspore/issues/I7PYUO,C1,C1,G2,B1,B1,G2,C1
https://gitee.com/mindspore/mindspore/issues/I7B0JE,B1,B1,G2,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I7QYXM,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I5MVTO,B1,B1,B1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I5RXOB,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I8MBGB,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I7RAZR,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I5QCF5,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I5E41J,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I5E43M,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6NPQB,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6N1TA,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I85QZ6,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6N4CR,C1,C1,C1,C1,C1,C1,C1
https://gitee.com/mindspore/mindspore/issues/I6E66L,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I6FRHU,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I8EMI4,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6MR9F,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I64HBX,C1,C1,C1,C1,C1,C1,C1
https://gitee.com/mindspore/mindspore/issues/I6MR8W,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I69KB5,C1,C1,C1,C1,C1,C1,C1
https://gitee.com/mindspore/mindspore/issues/I64QJ5,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I8EEAH,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I69HBO,G1,C1,C1,G2,G2,C1,C1
https://gitee.com/mindspore/mindspore/issues/I6MQWL,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I5OEIU,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I69PWB,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I63POD,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I7XHPO,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I71YH5,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I7F015,G3,G3,G3,G3,G3,G3,G3
https://gitee.com/mindspore/mindspore/issues/I69U3L,B1,B1,B1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I6NPYF,G4,G5,G4,G4,G4,G5,G4
https://gitee.com/mindspore/mindspore/issues/I7R1EH,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I6NGHJ,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I6NFP4,G3,G3,G3,G3,G3,G3,G3
https://gitee.com/mindspore/mindspore/issues/I5P4ZL,E1,E1,E1,E1,E1,E1,E1
https://gitee.com/mindspore/mindspore/issues/I6NF9J,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I642S3,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I6NVX1,E2,E2,E2,E2,E2,E2,E2
https://gitee.com/mindspore/mindspore/issues/I5P2O2,G5,G5,C1,G5,C1,G5,G5
https://gitee.com/mindspore/mindspore/issues/I6GE4F,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I56F8D,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I563O5,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7R0P0,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7F2BX,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I6NEY2,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7B6ME,F1,F1,F1,B1,F1,B1,F1
https://gitee.com/mindspore/mindspore/issues/I7OUAN,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I6IGI8,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7GTZF,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I819Z6,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I80EWN,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7KF9J,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I5MIUS,B1,B1,B1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I5MIPE,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I7I0HI,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I67QJ6,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I87F7T,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I7ZQPR,G4,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I7QN9F,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I5E8Q2,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I5LWPW,C1,C1,A4,C2,A4,C2,C1
https://gitee.com/mindspore/mindspore/issues/I6J2W9,F1,F1,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I66TS6,C1,C1,C1,C1,C1,C1,C1
https://gitee.com/mindspore/mindspore/issues/I4Y7UT,B1,B1,B1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I67I0C,E3,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I4Y77U,A4,A4,G2,A4,G2,A4,A4
https://gitee.com/mindspore/mindspore/issues/I6HA4D,G2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I68TLT,G2,G2,G2,G2,G2,G2,G2
